Timestamp,PM2.5 (µg/m³)
0,273.55
1,268.87
2,258.02
3,194.91
4,198.0
5,145.02
6,180.98
7,164.07
8,157.1
9,132.95
10,141.57
11,141.48
12,134.91
13,130.48
14,157.8
15,160.2
16,146.54
17,140.82
18,155.23
19,174.76
20,219.8
21,216.21
22,281.77
23,325.29
24,314.4
25,311.49
26,318.34
27,382.15
28,297.97
29,216.81
30,227.15
31,214.69
32,200.49
33,241.19
34,223.22
35,192.14
36,188.66
37,160.13
38,135.26
39,133.96
40,131.98
41,124.39
42,111.05
43,134.33
44,167.73
45,149.41
46,192.12
47,237.35
48,251.85
49,230.44
50,214.64
51,205.9
52,289.52
53,318.19
54,246.6
55,193.12
56,177.88
57,195.14
58,182.35
59,151.78
60,126.57
61,144.36
62,129.13
63,99.81
64,108.61
65,122.94
66,128.41
67,123.88
68,127.07
69,150.37
70,183.35
71,242.55
72,284.31
73,250.5
74,224.54
75,206.48
76,198.91
77,221.0
78,251.46
79,219.71
80,219.73
81,223.12
82,201.82
83,158.26
84,149.65
85,110.42
86,91.89
87,80.12
88,70.08
89,71.71
90,56.82
91,74.82
92,127.49
93,173.2
94,223.55
95,215.86
96,163.14
97,164.67
98,211.34
99,262.62
100,296.75
101,334.44
102,374.66
103,314.43
104,268.6
105,245.86
106,306.01
107,294.22
108,207.88
109,224.36
110,205.97
111,140.82
112,47.72
113,43.02
114,111.86
115,155.17
116,159.24
117,135.88
118,103.72
119,92.28
120,87.31
121,74.21
122,68.22
123,53.29
124,56.97
125,105.43
126,161.42
127,158.94
128,144.49
129,128.43
130,111.72
131,91.72
132,61.54
133,52.96
134,58.4
135,47.53
136,48.602
137,49.674
138,50.747
139,51.819
140,52.891
141,53.963
142,55.036
143,56.108
144,57.18
145,55.28
146,46.22
147,48.44
148,56.62
149,65.29
150,86.77
151,77.35
152,73.54
153,62.87
154,60.76
155,52.67
156,55.57
157,55.74
158,44.48
159,47.44
160,23.09
161,32.42
162,48.14
163,61.04
164,39.45
165,38.67
166,38.23
167,41.41
168,41.45
169,27.02
170,42.96
171,42.58
172,39.3
173,32.85
174,25.8
175,35.2
176,38.33
177,29.75
178,31.09
179,32.19
180,51.75
181,45.23
182,45.17
183,40.39
184,38.33
185,31.86
186,37.2
187,35.47
188,30.22
189,28.61
190,29.8
191,23.77
192,31.39
193,35.28
194,28.51
195,39.73
196,31.6
197,42.49
198,12.26
199,8.06
200,18.79
201,22.76
202,21.49
203,19.71
204,44.33
205,38.17
206,31.54
207,26.84
208,42.69
209,38.05
210,57.06
211,60.19
212,59.36
213,64.11
214,68.81
215,56.33
216,50.79
217,48.88
218,42.56
219,46.11
220,40.45
221,52.0
222,67.57
223,65.11
224,66.56
225,78.39
226,84.36
227,76.35
228,91.72
229,81.69
230,80.09
231,71.31
232,66.99
233,59.76
234,53.45
235,65.01
236,92.85
237,94.48
238,81.49
239,92.32
240,118.41
241,121.45
242,115.61
243,89.41
244,69.11
245,58.46
246,82.61
247,63.48
248,63.51
249,59.69
250,72.44
251,94.5
252,79.95
253,66.09
254,66.39
255,62.21
256,63.05
257,50.04
258,60.36
259,67.88
260,57.95
261,50.17
262,66.58
263,73.89
264,64.18
265,51.58
266,67.24
267,66.39
268,59.42
269,59.5
270,60.69
271,53.33
272,62.33
273,67.86
274,80.0
275,63.39
276,61.03
277,74.0
278,77.75
279,65.48
280,64.39
281,62.96
282,66.49
283,72.9
284,101.88
285,125.53
286,165.4
287,181.85
288,214.59
289,203.82
290,182.78
291,177.09
292,179.23
293,121.55
294,105.48
295,112.36
296,129.75
297,150.98
298,159.03
299,130.03
300,105.66
301,112.54
302,111.9
303,140.03
304,122.1
305,126.11
306,199.48
307,203.6
308,214.89
309,213.65
310,261.26
311,298.56
312,218.68
313,173.03
314,154.52
315,166.61
316,180.29
317,167.26
318,182.28
319,177.55
320,166.99
321,114.05
322,153.44
323,134.37
324,190.14
325,217.0
326,283.23
327,222.82
328,213.87
329,220.29
330,158.61
331,96.93
332,141.02
333,157.55
334,143.98
335,128.26
336,183.24
337,171.19
338,108.95
339,55.17
340,48.06
341,59.5
342,72.23
343,69.67
344,66.01
345,67.64
346,87.62
347,86.45
348,91.94
349,92.21
350,101.72
351,104.57
352,111.96
353,103.85
354,93.85
355,88.1
356,87.97
357,99.89
358,132.86
359,120.25
360,113.16
361,92.78
362,71.33
363,66.37
364,78.8
365,91.88
366,104.29
367,92.49
368,77.53
369,84.37
370,81.3
371,77.41
372,69.19
373,85.74
374,81.8
375,83.13
376,75.39
377,87.03
378,87.98
379,123.08
380,149.33
381,222.68
382,257.39
383,225.09
384,143.79
385,140.52
386,133.27
387,92.27
388,77.11
389,84.56
390,113.3
391,106.62
392,91.99
393,99.59
394,94.49
395,93.14
396,92.42
397,96.64
398,99.54
399,99.83
400,81.46
401,113.26
402,107.28
403,135.66
404,150.52
405,149.54
406,131.61
407,119.59
408,116.43
409,125.14
410,153.85
411,150.57
412,138.71
413,151.72
414,181.75
415,164.99
416,135.26
417,131.76
418,135.45
419,139.17
420,166.54
421,165.48
422,128.33
423,154.08
424,123.91
425,116.92
426,138.67
427,143.3
428,123.52
429,117.46
430,106.01
431,110.45
432,120.02
433,99.34
434,117.08
435,158.45
436,157.14
437,169.48
438,174.96
439,149.55
440,137.7
441,122.79
442,114.65
443,120.45
444,126.49
445,135.19
446,151.59
447,129.98
448,142.66
449,143.45
450,134.23
451,135.14
452,113.54
453,127.09
454,179.45
455,243.17
456,311.6
457,222.48
458,160.12
459,148.98
460,163.54
461,146.81
462,154.72
463,139.66
464,119.27
465,124.78
466,156.01
467,218.79
468,211.36
469,214.23
470,244.5
471,180.68
472,156.8
473,175.06
474,168.39
475,196.13
476,206.84
477,222.6
478,234.53
479,221.34
480,205.03
481,197.9
482,201.57
483,208.24
484,224.84
485,159.21
486,152.74
487,112.86
488,92.3
489,99.45
490,114.2
491,122.33
492,128.87
493,123.09
494,99.76
495,135.61
496,159.51
497,146.37
498,118.12
499,143.16
500,170.56
501,207.77
502,200.52
503,171.47
504,186.07
505,183.28
506,150.34
507,129.24
508,120.87
509,125.28
510,110.58
511,98.85
512,97.18
513,98.57
514,76.34
515,56.25
516,63.8
517,77.01
518,78.52
519,81.96
520,81.8
521,79.3
522,80.18
523,77.75
524,72.18
525,52.15
526,57.79
527,76.74
528,73.41
529,65.06
530,62.36
531,62.97
532,60.4
533,55.69
534,65.57
535,74.52
536,77.86
537,78.13
538,78.3
539,87.47
540,80.04
541,84.31
542,76.48
543,56.31
544,47.92
545,57.68
546,76.9
547,99.52
548,96.16
549,101.57
550,83.17
551,53.2
552,37.29
553,54.38
554,56.99
555,42.06
556,30.03
